Round Number ,Date Out ,Date Checked ,Forest Name ,Camera Number in Forest ,Plot Type,Camera Model,Unit Number,SD Card Number ,Number of Pictures ,Tree Species ,Orientation (Degrees),Battery Level,Notes ,
3,5/13/19,9/4/19,Whippoorwill Corners ,4,Pine ,Bushnell HD,15,16,,"Unkown - shaggy bark, beech looking leaves",168,,,
4,9/17/19,11/15/19,Donnerville,1,Deciduous ,Browning ,30,17,,Ash,185,84%,"Tree is dying, very close to main path",
4,9/17/19,11/15/19,Donnerville,2,Deciduous ,Bushnell HD,10,35,,Red Maple,161,,,
4,9/17/19,11/15/19,Donnerville,3,Deciduous ,Browning ,21,40,,Red Maple,278,73%,,
4,9/17/19,11/6/19,Donnerville,4,Deciduous ,Bushnell HD,14,25,,Red Maple,244,5 Batteries,Near foot paths,
4,9/20/19,12/7/19,South Hammond ,1,Deciduous ,Browning ,28,1,,Red Pine ,263,78%,GPS issues- may not be exactly within the buffer,
4,9/20/19,12/7/19,South Hammond ,2,Deciduous ,Browning ,23,24,,Red Oak ,297,78%,,
4,9/20/19,12/7/19,South Hammond ,3,Deciduous ,Bushnell HD,15,6,,White Pine ,13,,Stake isn't in up to the first black tape mark- half in,
4,9/20/19,12/7/19,South Hammond ,4,Deciduous ,Bushnell HD,2,7,,Red Oak ,46,,,
4,9/29/19,1/26/20,Whiskey Flats ,1,Pine ,Browning ,34,21,,Spruce,129,,Set up by Cole and Leslie,
4,9/29/19,1/26/20,Whiskey Flats ,2,Pine ,Browning ,36,32,,White Cedar,236,,"Set up by Cole and Leslie, wet/swampy surrounding habitat",
4,9/29/19,12/6/19,Whiskey Flats ,3,Pine ,Bushnell HD,5,34,,American Beech,358,,Set up by Cole and Leslie,
4,9/29/19,12/6/19,Whiskey Flats ,4,Pine ,Bushnell HD,3,39,,Red Pine ,215,,"Set up by Cole and Leslie, open understory, slight hill",
4,9/27/19,11/17/19,Degrasse ,2,Pine ,Bushnell HD,1,23,,Hemlock,352,,"Erika, Hemlock grove",
4,9/27/19,11/17/19,Degrasse ,1,Pine ,Browning ,37,31,,E. Hemlock,173,,"Erika, Hemlock grove",
4,9/27/19,11/17/19,Degrasse ,4,Pine ,Bushnell HD,6,5,,Beech,30,5 batteries,"Erika, nice white pine forest with hardwood understory",
4,9/27/19,11/17/19,Degrasse ,3,Pine ,Browning ,33,38,,Red Maple,235,,"Erika, hemlock grove,adjacent to Grasse; gaps in view across river",
4,9/27/19,11/12/19,Whippoorwill Corners ,1,Pine ,Bushnell HD,7,42,,Red Maple,241,,"Cole and Erika, no lock, looks like game trail goes right past",
4,9/27/19,11/15/19,Whippoorwill Corners ,2,Pine ,Bushnell HD,17,26,,Hemlock,233,,"ELB, Along slope, pointed toward game trail",
4,9/27/19,11/1/19,Whippoorwill Corners ,4,Pine ,Browning ,31,15,,Eastern Hemlock,21,,"Set up by Cole and Leslie, facing game trail",
4,9/27/19,11/12/19,Whippoorwill Corners ,3,Pine ,Browning ,32,13,,Beech,17,,"Cole, locked, perpendicular with game trail",
4,10/9/19,12/14/19,Beaver Creek,1,Deciduous ,Browning ,27,41,,Elm ,56,60%,"On game trail, 100m east of buffer circle (bad terrain within buffer), placed by Cole",
4,10/19/19,2/2/20,Beaver Creek,2,Deciduous ,Browning ,35,16,,Red Maple,14,100%,Placed by Cole,
4,10/19/19,2/2/20,Beaver Creek,3,Deciduous ,Bushnell HD,4,12,,Sugar Maple,284,4 batteries,"Placed by Cole, strap on camera broke (tied)",
4,10/19/19,,Beaver Creek,4,Deciduous ,Bushnell HD,18,11,,Sugar Maple,180,7 batteries,,
4,10/11/19,11/16/19,Lampson Falls,1,Deciduous ,Browning ,40,16-1,,Yellow birch,236,,"No Scale stick, ELB, extra camera for Snapshot USA",
4,10/11/19,11/16/19,Lampson Falls,2,Deciduous ,Browning ,39,16-2,,Red maple ,53,,"No Scale stick, ELB, beech thicket, extra camera for Snapshot USA",
4,10/11/19,11/17/19,Lampson Falls,3,N/A,Browning ,42,16-3,,White Pine,166,,"No Scale Stick, white pine stand, extra camera for Snapshot USA, ELB",
4,10/11/19,11/16/19,Lampson Falls,4,Deciduous ,Browning ,41,14,,Catscratch,316,,"No Scale stick, ELB, beech thicket, extra camera for Snapshot USA",
